Developer,Type
Alan Clark,Person
Alpine Software,Company
Andrew Greenberg,Person
Arthur Van Brink,Person
Bank Street College of Education,Company
Barney Stone,Person
Barry Printz,Person
Ben Herman,Person
Ben Serki,Person
Benny Gno,Person
Benny Ngo,Person
Bert Kersey,Person
Bessie Chin,Person
Bill Basham,Person
Bill Blue,Person
Bill Budge,Person
Bill Depew,Person
Bill Graves,Person
Bill Hogue,Person
Bill Maxwell,Person
Bill Passauer,Person
Bob Blauschild,Person
Bob Clardy,Person
Bob Davis,Person
Bob Hess,Person
Bob Kniskern,Person
Bob Schoenburg,Person
Brad Crain,Person
Brian Fitzgerald,Person
Bruce Artwick,Person
Bruce Wallace,Person
Bruce Zweig,Person
Butch Greathouse,Person
Charles Hartley,Person
Charles Merrow,Person
Children's Television Workshop,Company
Chris Anson,Person
Chris Jochumson,Person
Colin Jameson,Person
Creative Computer Applications,Company
Dallas Snell,Person
Dan Bricklin,Person
Dan Bunten,Person
Dan Gorlin,Person
Dan Illowsky,Person
Dan Spracklen,Person
Dan Thompson,Person
Dav Holle,Person
Dave Clark,Person
Dave Lebling,Person
Dave Morock,Person
David Balsam,Person
David H. Schroeder,Person
David Hughes,Person
David Kidwell,Person
David Lubar,Person
David Mullich,Person
David Snider,Person
Dennis Goodrow,Person
DesignWare,Person
Don Hoffman,Person
Don Worth,Person
Doug Carlston,Person
Doug Smith,Person
Ed Hobbs,Person
Ed Mitchell,Person
Ed Zaron,Person
Epyx,Company
Eric Hammond,Person
Eric Varsanyl,Person
Erik Knopp,Person
Frank E. Mullin,Person
Garry Reinhardt,Person
Gary Shannon,Person
Gene Hite,Person
Gene Kuzmiak,Person
George McClelland,Person
George Shackelford,Person
Gordon Letwin,Person
Harold DeWitz,Person
Harry Bruce,Person
Harry Coons,Person
Henry Hilton,Person
Howard de St. Germain,Person
Image Producers,Company
Infocom,Company
Jack Rice,Person
Jack T. Avery,Person
James Howard,Person
Janice Davidson,Person
Janie Worthington,Person
Jay Sullivan,Person
Jay Zimmermann,Person
Jeff Stephenson,Person
Jeffrey Gold,Person
Jerry Chaffin,Person
Jim Nitchals,Person
Joe Toler,Person
Joel Ellis Rea,Person
John Draper,Person
John Garcia,Person
John Moss,Person
John Page,Person
John Paulson,Person
Julius Erving,Person
Jun Wada,Person
Kathe Spracklen,Person
Ken Debower,Person
Ken Wiliams,Person
Ken Williams,Person
Kevin Armstrong,Person
Larry Bird,Person
Larry Franks,Person
Larry Grodin,Person
Larry Miller,Person
Leonard Elekman,Person
Leslie Grimm,Person
Logo Computer Systems,Company
Lord British,Person
M. Hata,Person
Marc Blank,Person
Marc Goodman,Person
Marc Pelczarski,Person
Margaret Anson,Person
Mark Allen,Person
Mark Borgerson,Person
Mark Pelczarski,Person
Mark Robbins,Person
Mark Simonsen,Person
Mark Turmell,Person
Martin Kahn,Person
Matthew Alexander,Person
Michael Berlin,Person
Micro Finance Systems,Person
Mike Abbott,Person
Mike Livesay,Person
Mitch Kapor,Person
Nasir,Person
National Microcomputer Associates,Company
Neil Konzen,Person
Neried,Person
Olaf Lubeck,Person
Paul Lutus,Person
Paul Murray,Person
Paul Stephenson,Person
Peter Jennings,Person
Philip,Person
Pieter Lechner,Person
Richard Eckert,Person
Richard Hefter,Person
Richard Moore,Person
Robert Frankston,Person
Robert Woodhead,Person
Roberta Williams,Person
Rorke Weigandt,Person
Rupert Lissner,Person
Sam Edwards,Person
Scott Adams,Person
Sensible Software,Company
Silas Warner,Person
Software Arts Inc.,Company
Software Associates,Company
Software Dimensions,Company
Special Delivey Software,Company
Spencer Howe,Person
Stanley Crain,Person
Steve Bjork,Person
Steve Boker,Person
Steve Meretzky,Person
Steve Pollack,Person
Steve Worthington,Person
Stewart Einstein,Person
Thomas Ball,Person
Tim Dygert,Person
Tim Gill,Person
Tim Smith,Person
Tim Wilson,Person
Tom Crossley,Person
Tom Snyder,Person
Tom Weishaar,Person
Tony Gno,Person
Tony Ngo,Person
Tony Suzuki,Person
Warren Robinett,Person
Warren Schwader,Person
Wayne Ratliff,Person
Will Harvey,Person
uncredited,unk
