Program,Developer
"3-Pack (Datesones of Ryn, Morloc's Tower, Rescue at Rigel)",Epyx
A2-PB1 Pinball: Night Mission,Bruce Artwick
ABM,Silas Warner
Accounting Plus,Software Dimensions
Adventure,Gordon Letwin
Adventure,Software Associates
Adventure 10: Savage Island,Scott Adams
Akalabeth,Lord British
Alien Rain (Apple Galaxian),Tony Suzuki
Alien Typhoon,Tony Suzuki
Apple Adventure,uncredited
Apple Logo,Logo Computer Systems
Apple Mechanic,Bert Kersey
Apple Mechanic Typefaces,Bert Kersey
Apple Panic,Ben Serki
Apple Pascal,uncredited
Apple PIE,Tom Crossley
Apple Plot,uncredited
Apple Speller,uncredited
Apple Writer,uncredited
Apple Writer II,Paul Lutus
Apple Writer IIe,Paul Lutus
Apple-Doc,uncredited
AppleWorks,Rupert Lissner
AppleWriter II Pre-Boot Disk,Kevin Armstrong
AppleWriter II Pre-Boot Disk,Mark Borgerson
Arcademic Skill Builders in Math,Bill Maxwell
Arcademic Skill Builders in Math,Jerry Chaffin
ASCII Express: The Professional,Bill Blue
ASCII Express: The Professional,Mark Robbins
Asteroid Field,Barry Printz
Asteroid Field,Jim Nitchals
Asteroid Field,Richard Moore
Asteroids in Space,Bruce Wallace
Autobahn,Nasir
Aztec,Paul Stephenson
B-1 Nuclear Bomber,uncredited
Bag of Tricks,Don Worth
Bag of Tricks,Pieter Lechner
Bandits,Benny Ngo
Bandits,Tony Ngo
Bank Street Speller,Bank Street College of Education
Bank Street Speller,Sensible Software
Bank Street Writer,Bank Street College of Education
Bank Street Writer,Gene Kuzmiak
Barron's SAT,uncredited
Beagle Basic,Mark Simonsen
Beer Run,Mark Turmell
Beyond Castle Wolfenstein,Silas Warner
Bill Budge's 3-D Graphics Package,Bill Budge
Bill Budge's Space Album,Bill Budge
Bill Budge's Trilogy,uncredited
BPI Accounts Receivable,John Moss
BPI Accounts Receivable,Ken Debower
BPI General Ledger,John Moss
BPI General Ledger,Ken Debower
Bug Attack,Jim Nitchals
Cannonball Blitz,Olaf Lubeck
Canyon Climber,Steve Bjork
Castle Wolfenstein,Silas Warner
CCA Data Management System,Ben Herman
CCA Data Management System,Creative Computer Applications
Choplifter,Dan Gorlin
Computer Ambush,uncredited
Computer Baseball,Charles Merrow
Computer Baseball,Jack T. Avery
Computer Bismarck,uncredited
Computer Quarterback,Dan Bunten
Computer SAT,uncredited
Copy II Plus,uncredited
Cosmos Mission,uncredited
Creature Venture,Butch Greathouse
Creature Venture,Garry Reinhardt
Crisis Moutain,David H. Schroeder
Crossfire,Jay Sullivan
Cyber Strike,Nasir
Dark Crystal,Roberta Williams
Data Capture 4.0,David Hughes
Data Capture 4.0,George McClelland
Data Factory,Bill Passauer
Datestones of Ryn,uncredited
David's Midnight Magic,David Snider
DB Master,Alpine Software
DB Master,Barney Stone
DB Master,Stanley Crain
dBase II,Wayne Ratliff
Deadline,uncredited
Death in the Caribbean,Bob Hess
Death in the Caribbean,Philip
DiskQuik,Gene Hite
DiskQuik,Harry Bruce
Dogfight,Bill Basham
Dollars and Sense,Frank E. Mullin
DOS 3.3,uncredited
DOS Boss,Bert Kersey
DOS Tool Kit,uncredited
Double-Take,Mark Simonsen
Dragon Fire,uncredited
Early Games for Young Children,John Paulson
Easy Writer,John Draper
Enchanter,Dave Lebling
Enchanter,Marc Blank
Epoch,Larry Miller
Ernie's Quiz,Children's Television Workshop
Escape from Rungistan,Bob Blauschild
Exodus: Ultima III,uncredited
Expediter II,Dennis Goodrow
Expediter II,Stewart Einstein
Facemaker,DesignWare
Falcons,Eric Varsanyl
Falcons,Thomas Ball
FlashCalc,Bill Graves
FlashCalc,Neried
Flight Simulator,Bruce Artwick
Flight Simulator II,Bruce Artwick
Frogger,Olaf Lubeck
Galactic Empire,Doug Carlston
Galactic Revolution,Doug Carlston
Galactic Trader,Doug Carlston
Gamma Goblins,Benny Gno
Gamma Goblins,Tony Gno
Gammon Gambler,uncredited
General Ledger,George Shackelford
Ghost Town: Adventure #9,Scott Adams
Global Program Line Editor,Neil Konzen
Gobbler,Olaf Lubeck
Gorgon,Nasir
Graphics Magician,Chris Jochumson
Graphics Magician,David Lubar
Graphics Magician,Mark Pelczarski
Graphtrix,Steve Boker
Hard Hat Mack,Matthew Alexander
Hard Hat Mack,Mike Abbott
Head On,uncredited
Hellfire Warrior,uncredited
Hi-Res Adventure #0: Mission: Asteroid,Ken Williams
Hi-Res Adventure #0: Mission: Asteroid,Roberta Williams
Hi-Res Adventure #1: Mystery House,Ken Williams
Hi-Res Adventure #1: Mystery House,Roberta Williams
Hi-Res Adventure #2: The Wizard and the Princess,Ken Williams
Hi-Res Adventure #2: The Wizard and the Princess,Roberta Williams
Hi-Res Adventure #3: Cranston Manor,Harold DeWitz
Hi-Res Adventure #3: Cranston Manor,Ken Williams
Hi-Res Adventure #4: Ulysses and the Golden Fleece,Bob Davis
Hi-Res Adventure #4: Ulysses and the Golden Fleece,Ken Williams
Hi-Res Cribbage,Warren Schwader
Hi-Res Football,Jay Sullivan
Hi-Res Football,Ken Williams
Home Accountant,Bob Schoenburg
Home Accountant,Larry Grodin
Home Accountant,Steve Pollack
Home Money Minder,Bob Schoenburg
Home Money Minder,Steve Pollack
HomeWord,Jeff Stephenson
HomeWord,Ken Wiliams
Horizon V,Nasir
In Search of the Most Amazing Thing,Tom Snyder
Jawbreaker,Olaf Lubeck
Julius Erving and Larry Bird Go One-on-One,Eric Hammond
Julius Erving and Larry Bird Go One-on-One,Julius Erving
Julius Erving and Larry Bird Go One-on-One,Larry Bird
Kabul Spy,Tim Wilson
Knight of Diamonds,Andrew Greenberg
Knight of Diamonds,Robert Woodhead
Legacy of Llylgamyn,Andrew Greenberg
Legacy of Llylgamyn,Robert Woodhead
Lode Runner,Doug Smith
Lords of Karma,National Microcomputer Associates
Magic Window,Bill Depew
Magic Window,Gary Shannon
Magic Window II,Bill Depew
Marauder,Eric Hammond
Marauder,Rorke Weigandt
MasterType,Bruce Zweig
Math Blaster,Janice Davidson
Math Blaster,Richard Eckert
Microwave,Jay Zimmermann
Microwave,Jim Nitchals
Midway Campaign,uncredited
Miner 2049er,Bill Hogue
Miner 2049er,Mike Livesay
Missile Defense,Dave Clark
Mix & Match,Children's Television Workshop
Morloc's Tower,uncredited
Multiplan,uncredited
Music Construction Set,Will Harvey
Odyssey,Bob Clardy
Olympic Decathlon,Tim Smith
Oo Topos: An Extraterrestrial Adventure,Michael Berlin
Oribitron,Erik Knopp
Pegasus II,Olaf Lubeck
Personal Finance Manager,Jeffrey Gold
Personal Finance Manager,Special Delivey Software
PFS: File (Personal Filing System),John Page
PFS: Graph,Bessie Chin
PFS: Report,John Page
PFS:Write,Brad Crain
PFS:Write,Ed Mitchell
PFS:Write,Sam Edwards
Phantoms 5,Nasir
Pinball Construction Set,Bill Budge
Planet Miners,National Microcomputer Associates
Planetoids (Asteroids),Marc Goodman
Pool 1.5,Dave Morock
Pool 1.5,Don Hoffman
Pool 1.5,Howard de St. Germain
Print Shop,David Balsam
Print Shop,Martin Kahn
ProDOS User's Kit,uncredited
Programming Aids 3.3,uncredited
Pronto DOS,Tom Weishaar
Puckman,Jun Wada
Pulsar II,Nasir
Quick File IIe,Rupert Lissner
Raster Blaster,Bill Budge
Rescue at Rigel,uncredited
Reversal,Dan Spracklen
Reversal,Kathe Spracklen
Robot War,Silas Warner
Rocky's Boots,Leslie Grimm
Rocky's Boots,Warren Robinett
Sabotage,Mark Allen
Sargon II,Dan Spracklen
Sargon II,Kathe Spracklen
Sargon III,Dan Spracklen
Sargon III,Kathe Spracklen
Scot Adams Adventures,uncredited
Screen Writer II,David Kidwell
Seafox,Ed Hobbs
Sensible Speller,uncredited
Serpentine,David Snider
Silicon Salad,Bert Kersey
Silicon Salad,Mark Simonsen
Snack Attack,Dan Illowsky
Sneakers,Mark Turmell
Snoggle,Jun Wada
Snooper Troops I,Tom Snyder
Sorcerer,Steve Meretzky
Space Eggs,Nasir
Space Quarks,Chris Jochumson
Space Raiders,Paul Lutus
Space Warrior,Marc Goodman
Star Blazer,Tony Suzuki
Star Cruiser,Nasir
Star Thief,Jim Nitchals
Star Warrior,uncredited
Starcross,uncredited
Stickybear ABC,Jack Rice
Stickybear ABC,Janie Worthington
Stickybear ABC,Richard Hefter
Stickybear ABC,Spencer Howe
Stickybear ABC,Steve Worthington
Story Machine,DesignWare
Super Disk Copy (III),Charles Hartley
Super Invader,M. Hata
Superscribe II,David Kidwell
Super-Text 40-56-70,Ed Zaron
SuperText II,Ed Zaron
Super-Text Pro,Ed Zaron
Suspended,uncredited
Swashbuckler,Paul Stephenson
Tax Advantage,Harry Coons
Tax Advantage,Henry Hilton
Tax Preparer,James Howard
Taxman,Brian Fitzgerald
Temple of Apshai,uncredited
The Arcade Machine,Chris Jochumson
The Arcade Machine,Doug Carlston
The Complete Graphics System,Marc Pelczarski
The Controller,uncredited
The Incredible Jack,uncredited
The Mask of the Sun,Alan Clark
The Mask of the Sun,Chris Anson
The Mask of the Sun,Larry Franks
The Mask of the Sun,Margaret Anson
The Prisoner,David Mullich
The Quest,Dallas Snell
The Quest,Joe Toler
The Quest,Joel Ellis Rea
Threshold,Ken Williams
Threshold,Warren Schwader
Time Zone,Ken Williams
Time Zone,Roberta Williams
Track Attack,Chris Jochumson
Tranquility Base,uncredited
Transcend,uncredited
Transend 2,Bob Kniskern
Transend 2,Tim Dygert
Tubeway,Arthur Van Brink
Tuesday Night Football,uncredited
Twerps,Dan Thompson
Typing Tutor,Image Producers
Ultima,Lord British
Ultima II,Lord British
Utility City,Bert Kersey
VisiCalc,Dan Bricklin
VisiCalc,Robert Frankston
VisiCalc,Software Arts Inc.
VisiCalc: Advanced Version,Dan Bricklin
VisiCalc: Advanced Version,Robert Frankston
VisiCalc: Advanced Version,Software Arts Inc.
VisiDex,Peter Jennings
VisiFile,Ben Herman
VisiFile,Colin Jameson
VisiFile,Creative Computer Applications
VisiTrend/VisiPlot,Micro Finance Systems
VisiTrend/VisiPlot,Mitch Kapor
Warp Factor,Paul Murray
Wilderness Campaign,Bob Clardy
Wizardry,Andrew Greenberg
Wizardry,Robert Woodhead
Word Handler,Leonard Elekman
Word Juggler IIe,Tim Gill
WordStar,uncredited
Zaxxon,John Garcia
Zoom Grafix,Dav Holle
Zork,Infocom
Zork II,uncredited
Zork III,uncredited
