Program,Position,Index
Apple Writer IIe,1,182.36
Home Accountant,2,98.65
VisiCalc,3,83.21
MasterType,4,82.71
PFS: File (Personal Filing System),5,77.23
Wizardry,6,69.26
Bank Street Writer,7,67.26
Miner 2049er,8,65.27
Quick File IIe,9,57.3
Multiplan,10,53.31
Choplifter,11,43.35
Double-Take,12,33.88
Ultima II,13,33.38
PFS: Report,14,31.89
DOS Boss,15,28.9
Typing Tutor,16,24.91
Snooper Troops I,17,23.92
Apple Mechanic,18,21.92
Pronto DOS,18,21.92
Pinball Construction Set,20,20.93
Facemaker,21,20.43
Suspended,21,20.43
Mix & Match,23,19.93
Knight of Diamonds,24,19.43
Ernie's Quiz,25,18.93
Early Games for Young Children,26,17.94
Utility City,26,17.94
Screen Writer II,26,17.94
PFS: Graph,29,17.44
Aztec,29,17.44
Apple Logo,29,17.44
